"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Median Household Income (In 2024 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"53033011300","SL140","Census Tract 113, King County, Washington","Census Tract 113, King County, Washington",3419308,42220,6279,3070,563,24,1270,113,385,854,112455,5027,295,4732,3763,2440,858,326,146
"53033011401","SL140","Census Tract 114.01, King County, Washington","Census Tract 114.01, King County, Washington",1233155,0,5052,2133,741,159,762,7,424,826,93897,3760,358,3402,2810,1166,523,117,64
"53033011402","SL140","Census Tract 114.02, King County, Washington","Census Tract 114.02, King County, Washington",1186191,0,4490,2062,295,0,572,7,728,826,118864,3348,350,2998,2282,1662,657,124,39
"53033011500","SL140","Census Tract 115, King County, Washington","Census Tract 115, King County, Washington",1538373,0,4449,2904,123,0,375,0,127,920,128073,3431,27,3404,3138,2203,747,135,49
"53033011601","SL140","Census Tract 116.01, King County, Washington","Census Tract 116.01, King County, Washington",1554536,184845,3440,2721,12,0,236,14,16,441,168618,2650,63,2587,2456,2058,850,340,98
"53033011602","SL140","Census Tract 116.02, King County, Washington","Census Tract 116.02, King County, Washington",1565825,786358,3653,3044,47,0,114,0,107,341,156250,2771,90,2681,2463,2034,685,286,106
"53033011700","SL140","Census Tract 117, King County, Washington","Census Tract 117, King County, Washington",3515810,0,5914,1314,750,191,2811,0,348,500,93090,4246,1122,3124,2209,1214,416,143,31
"53033011801","SL140","Census Tract 118.01, King County, Washington","Census Tract 118.01, King County, Washington",1160801,630417,3478,1191,783,9,994,0,316,185,98342,2366,392,1974,1657,1203,344,128,88
"53033011802","SL140","Census Tract 118.02, King County, Washington","Census Tract 118.02, King County, Washington",1139612,1037832,5167,1359,2073,107,453,0,746,429,,3337,283,3054,2060,1107,580,158,19
"53033011901","SL140","Census Tract 119.01, King County, Washington","Census Tract 119.01, King County, Washington",1682373,0,4925,1077,906,65,1960,0,134,783,119933,3737,716,3021,2257,1123,515,267,12
